tag_4296540161,tag_4296802305,tag_4297064449,tag_4297326593,tag_4297588737
0.0,0.0,0.0,0.0,0.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,39.0
45.0,45.0,45.0,45.0,39.0
45.0,45.0,45.0,45.0,33.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
45.0,45.0,45.0,45.0,27.0
