seed,checkpoint_name,checkpoint_path,checkpoint_steps,episodes,nav_win,combat_win,combat_loss,nav_loss,unexpected_count,win_rate_percent,nav_win_rate_percent,combat_win_rate_percent,unexpected_outcomes_json,raw_nav_win,raw_combat_win,raw_combat_loss,raw_timeout_loss,raw_tie,raw_victory,raw_defeat
255410368,QMIX_reduced_50K.pt,C:\Users\sbp5911\Visual Studio Code Workspace\SC2---Two-Bridge-Maps\Agents\Qmix_reduced\V3_Navigate\saved_models\QMIX_reduced\seed_255410368\QMIX_reduced_50K.pt,50000,32,23,0,0,9,0,71.875,71.875,0.0,{},23,0,0,9,0,0,0
255410368,QMIX_reduced_100K.pt,C:\Users\sbp5911\Visual Studio Code Workspace\SC2---Two-Bridge-Maps\Agents\Qmix_reduced\V3_Navigate\saved_models\QMIX_reduced\seed_255410368\QMIX_reduced_100K.pt,100000,32,3,0,0,29,0,9.375,9.375,0.0,{},3,0,0,29,0,0,0
255410368,QMIX_reduced_150K.pt,C:\Users\sbp5911\Visual Studio Code Workspace\SC2---Two-Bridge-Maps\Agents\Qmix_reduced\V3_Navigate\saved_models\QMIX_reduced\seed_255410368\QMIX_reduced_150K.pt,150000,32,5,0,0,27,0,15.625,15.625,0.0,{},5,0,0,27,0,0,0
255410368,QMIX_reduced_200K.pt,C:\Users\sbp5911\Visual Studio Code Workspace\SC2---Two-Bridge-Maps\Agents\Qmix_reduced\V3_Navigate\saved_models\QMIX_reduced\seed_255410368\QMIX_reduced_200K.pt,200000,32,11,0,0,21,0,34.375,34.375,0.0,{},11,0,0,21,0,0,0
255410368,QMIX_reduced_250K.pt,C:\Users\sbp5911\Visual Studio Code Workspace\SC2---Two-Bridge-Maps\Agents\Qmix_reduced\V3_Navigate\saved_models\QMIX_reduced\seed_255410368\QMIX_reduced_250K.pt,250000,32,26,0,0,6,0,81.25,81.25,0.0,{},26,0,0,6,0,0,0
255410368,QMIX_reduced_300K.pt,C:\Users\sbp5911\Visual Studio Code Workspace\SC2---Two-Bridge-Maps\Agents\Qmix_reduced\V3_Navigate\saved_models\QMIX_reduced\seed_255410368\QMIX_reduced_300K.pt,300000,32,4,0,0,28,0,12.5,12.5,0.0,{},4,0,0,28,0,0,0
255410368,QMIX_reduced_350K.pt,C:\Users\sbp5911\Visual Studio Code Workspace\SC2---Two-Bridge-Maps\Agents\Qmix_reduced\V3_Navigate\saved_models\QMIX_reduced\seed_255410368\QMIX_reduced_350K.pt,350000,32,16,0,0,16,0,50.0,50.0,0.0,{},16,0,0,16,0,0,0
255410368,QMIX_reduced_400K.pt,C:\Users\sbp5911\Visual Studio Code Workspace\SC2---Two-Bridge-Maps\Agents\Qmix_reduced\V3_Navigate\saved_models\QMIX_reduced\seed_255410368\QMIX_reduced_400K.pt,400000,32,15,0,0,17,0,46.875,46.875,0.0,{},15,0,0,17,0,0,0
255410368,QMIX_reduced_450K.pt,C:\Users\sbp5911\Visual Studio Code Workspace\SC2---Two-Bridge-Maps\Agents\Qmix_reduced\V3_Navigate\saved_models\QMIX_reduced\seed_255410368\QMIX_reduced_450K.pt,450000,32,6,0,0,26,0,18.75,18.75,0.0,{},6,0,0,26,0,0,0
255410368,QMIX_reduced_500K.pt,C:\Users\sbp5911\Visual Studio Code Workspace\SC2---Two-Bridge-Maps\Agents\Qmix_reduced\V3_Navigate\saved_models\QMIX_reduced\seed_255410368\QMIX_reduced_500K.pt,500000,32,15,0,0,17,0,46.875,46.875,0.0,{},15,0,0,17,0,0,0
