grid,grid_label,map_variant,agent,agent_type,training_seed_count,training_seeds,evaluation_episodes,final_checkpoint_steps,final_mean_win_rate_percent,min_seed_win_rate_percent,max_seed_win_rate_percent,nav_win_percent,combat_win_percent,combat_loss_percent,timeout_loss_percent,source_path
2m,"2M, 8 eval envs, 5 training seeds",V1_Base,QMIX,learned,5,125963808;297975710;671662337;1076891414;1139390560,160,2000000,10.000000,0.0,34.375,10.000000,0.000000,0.000000,90.000000,Qmix_reduced\V1_Base\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv
2m,"2M, 8 eval envs, 5 training seeds",V1_Base,MaskPPO,learned,5,211825892;289297792;792405028;1223830059;2011173309,160,2001408,25.625000,3.125,43.75,25.625000,0.000000,0.000000,74.375000,MaskPPO\V1_Base\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv
2m,"2M, 8 eval envs, 5 training seeds",V1_Base,MAPPO,learned,5,373724351;712993367;754446756;1914693465;2008076029,160,2001408,11.250000,0.0,43.75,11.250000,0.000000,0.000000,88.750000,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv
2m,"2M, 8 eval envs, 5 training seeds",V1_Base,Scripted oracle,fixed_non_learning_policy,0,,32,,96.875000,,,0.000000,96.875000,3.125000,0.000000,Scripted\scripted_32ep_seed0_20260731\scripted_summary.csv
2m,"2M, 8 eval envs, 5 training seeds",V1_Combat,QMIX,learned,5,296232540;733533947;770444539;1199805338;1484093474,160,2000000,8.125000,3.125,12.5,7.500000,0.625000,11.250000,80.625000,Qmix_reduced\V1_Combat\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv
2m,"2M, 8 eval envs, 5 training seeds",V1_Combat,MaskPPO,learned,5,41902061;559867246;1571587510;1909607805;1934010576,160,2001408,13.750000,3.125,28.125,13.750000,0.000000,0.000000,86.250000,MaskPPO\V1_Combat\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv
2m,"2M, 8 eval envs, 5 training seeds",V1_Combat,MAPPO,learned,5,220256808;454950384;1495914392;1505141409;1729334869,160,2001408,19.375000,0.0,53.125,19.375000,0.000000,13.750000,66.875000,MAPPO_reduced\V1_Combat\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv
2m,"2M, 8 eval envs, 5 training seeds",V1_Combat,Scripted oracle,fixed_non_learning_policy,0,,32,,100.000000,,,0.000000,100.000000,0.000000,0.000000,Scripted\scripted_32ep_seed0_20260731\scripted_summary.csv
2m,"2M, 8 eval envs, 5 training seeds",V1_Navigate,QMIX,learned,5,492604721;743176660;830151625;1271041704;1646775834,160,2000000,17.500000,0.0,46.875,17.500000,0.000000,0.000000,82.500000,Qmix_reduced\V1_Navigate\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv
2m,"2M, 8 eval envs, 5 training seeds",V1_Navigate,MaskPPO,learned,5,178112637;676841575;1173760274;1449755265;1833857558,160,2001408,52.500000,28.125,100.0,52.500000,0.000000,0.000000,47.500000,MaskPPO\V1_Navigate\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv
2m,"2M, 8 eval envs, 5 training seeds",V1_Navigate,MAPPO,learned,5,84631678;836298222;1014721629;1282102998;2097606546,160,2001408,78.125000,46.875,100.0,78.125000,0.000000,0.000000,21.875000,MAPPO_reduced\V1_Navigate\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv
2m,"2M, 8 eval envs, 5 training seeds",V1_Navigate,Scripted oracle,fixed_non_learning_policy,0,,32,,100.000000,,,0.000000,100.000000,0.000000,0.000000,Scripted\scripted_32ep_seed0_20260731\scripted_summary.csv
2m,"2M, 8 eval envs, 5 training seeds",V2_Base,QMIX,learned,5,84485844;552267253;708389186;1819752936;1911126628,160,2000000,0.625000,0.0,3.125,0.625000,0.000000,0.000000,99.375000,Qmix_reduced\V2_Base\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv
2m,"2M, 8 eval envs, 5 training seeds",V2_Base,MaskPPO,learned,5,51493432;357562448;421486421;1367401093;1512476865,160,2001408,25.625000,12.5,34.375,25.625000,0.000000,0.000000,74.375000,MaskPPO\V2_Base\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv
2m,"2M, 8 eval envs, 5 training seeds",V2_Base,MAPPO,learned,5,516029291;1376109123;1703986785;1839318134;1932035183,160,2001408,3.750000,0.0,12.5,3.750000,0.000000,6.875000,89.375000,MAPPO_reduced\V2_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv
2m,"2M, 8 eval envs, 5 training seeds",V2_Base,Scripted oracle,fixed_non_learning_policy,0,,32,,37.500000,,,0.000000,37.500000,62.500000,0.000000,Scripted\scripted_32ep_seed0_20260731\scripted_summary.csv
