grid,grid_label,agent,agent_type,version,variant,map_name,source_path,total_episodes,training_seed_count,evaluation_sc2_seed_count,final_checkpoint_steps,notes,nav_win_count,nav_win_percent,combat_win_count,combat_win_percent,combat_loss_count,combat_loss_percent,timeout_loss_count,timeout_loss_percent
10m,"10M, 8 eval envs",MAPPO,learned_final_checkpoint,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,96,3,,10000896,Pooled final eligible checkpoint across training seeds.,49,51.041667,0,0.0,0,0.0,47,48.958333
10m,"10M, 8 eval envs",MAPPO,learned_final_checkpoint,V1,Combat,V1_Combat,MAPPO_reduced\V1_Combat\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,96,3,,10000896,Pooled final eligible checkpoint across training seeds.,23,23.958333,3,3.125,11,11.458333,59,61.458333
10m,"10M, 8 eval envs",MAPPO,learned_final_checkpoint,V1,Navigate,V1_Navigate,MAPPO_reduced\V1_Navigate\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,96,3,,10000896,Pooled final eligible checkpoint across training seeds.,87,90.625,0,0.0,0,0.0,9,9.375
10m,"10M, 8 eval envs",MAPPO,learned_final_checkpoint,V2,Base,V2_Base,MAPPO_reduced\V2_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,96,3,,10000896,Pooled final eligible checkpoint across training seeds.,19,19.791667,0,0.0,3,3.125,74,77.083333
10m,"10M, 8 eval envs",MAPPO,learned_final_checkpoint,V2,Combat,V2_Combat,MAPPO_reduced\V2_Combat\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,96,3,,10000896,Pooled final eligible checkpoint across training seeds.,40,41.666667,0,0.0,1,1.041667,55,57.291667
10m,"10M, 8 eval envs",MAPPO,learned_final_checkpoint,V2,Navigate,V2_Navigate,MAPPO_reduced\V2_Navigate\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,96,3,,10000896,Pooled final eligible checkpoint across training seeds.,92,95.833333,0,0.0,0,0.0,4,4.166667
10m,"10M, 8 eval envs",MAPPO,learned_final_checkpoint,V3,Base,V3_Base,MAPPO_reduced\V3_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,96,3,,10000896,Pooled final eligible checkpoint across training seeds.,33,34.375,0,0.0,0,0.0,63,65.625
10m,"10M, 8 eval envs",MAPPO,learned_final_checkpoint,V3,Combat,V3_Combat,MAPPO_reduced\V3_Combat\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,96,3,,10000896,Pooled final eligible checkpoint across training seeds.,20,20.833333,0,0.0,11,11.458333,65,67.708333
10m,"10M, 8 eval envs",MAPPO,learned_final_checkpoint,V3,Navigate,V3_Navigate,MAPPO_reduced\V3_Navigate\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,96,3,,10000896,Pooled final eligible checkpoint across training seeds.,91,94.791667,0,0.0,0,0.0,5,5.208333
10m,"10M, 8 eval envs",MaskPPO,learned_final_checkpoint,V1,Base,V1_Base,MaskPPO\V1_Base\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv,96,3,,10000896,Pooled final eligible checkpoint across training seeds.,43,44.791667,0,0.0,0,0.0,53,55.208333
10m,"10M, 8 eval envs",MaskPPO,learned_final_checkpoint,V1,Combat,V1_Combat,MaskPPO\V1_Combat\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv,96,3,,10000896,Pooled final eligible checkpoint across training seeds.,17,17.708333,0,0.0,0,0.0,79,82.291667
10m,"10M, 8 eval envs",MaskPPO,learned_final_checkpoint,V1,Navigate,V1_Navigate,MaskPPO\V1_Navigate\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv,96,3,,10000896,Pooled final eligible checkpoint across training seeds.,31,32.291667,0,0.0,0,0.0,65,67.708333
10m,"10M, 8 eval envs",MaskPPO,learned_final_checkpoint,V2,Base,V2_Base,MaskPPO\V2_Base\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv,96,3,,10000896,Pooled final eligible checkpoint across training seeds.,31,32.291667,0,0.0,0,0.0,65,67.708333
10m,"10M, 8 eval envs",MaskPPO,learned_final_checkpoint,V2,Combat,V2_Combat,MaskPPO\V2_Combat\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv,96,3,,10000896,Pooled final eligible checkpoint across training seeds.,33,34.375,0,0.0,0,0.0,63,65.625
10m,"10M, 8 eval envs",MaskPPO,learned_final_checkpoint,V2,Navigate,V2_Navigate,MaskPPO\V2_Navigate\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv,96,3,,10000896,Pooled final eligible checkpoint across training seeds.,47,48.958333,0,0.0,0,0.0,49,51.041667
10m,"10M, 8 eval envs",MaskPPO,learned_final_checkpoint,V3,Base,V3_Base,MaskPPO\V3_Base\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv,96,3,,10000896,Pooled final eligible checkpoint across training seeds.,32,33.333333,0,0.0,0,0.0,64,66.666667
10m,"10M, 8 eval envs",MaskPPO,learned_final_checkpoint,V3,Combat,V3_Combat,MaskPPO\V3_Combat\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv,96,3,,10000896,Pooled final eligible checkpoint across training seeds.,16,16.666667,0,0.0,0,0.0,80,83.333333
10m,"10M, 8 eval envs",MaskPPO,learned_final_checkpoint,V3,Navigate,V3_Navigate,MaskPPO\V3_Navigate\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv,96,3,,10000896,Pooled final eligible checkpoint across training seeds.,35,36.458333,0,0.0,0,0.0,61,63.541667
10m,"10M, 8 eval envs",QMIX,learned_final_checkpoint,V1,Base,V1_Base,Qmix_reduced\V1_Base\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,96,3,,10000000,Pooled final eligible checkpoint across training seeds.,10,10.416667,0,0.0,0,0.0,86,89.583333
10m,"10M, 8 eval envs",QMIX,learned_final_checkpoint,V1,Combat,V1_Combat,Qmix_reduced\V1_Combat\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,96,3,,10000000,Pooled final eligible checkpoint across training seeds.,10,10.416667,0,0.0,0,0.0,86,89.583333
