grid,grid_label,agent,agent_type,version,variant,map_name,source_path,total_episodes,training_seed_count,evaluation_sc2_seed_count,final_checkpoint_steps,notes,nav_win_count,nav_win_percent,combat_win_count,combat_win_percent,combat_loss_count,combat_loss_percent,timeout_loss_count,timeout_loss_percent
2m,"2M, 8 eval envs, 5 training seeds",MAPPO,learned_final_checkpoint,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,160,5,,2001408,Pooled final eligible checkpoint across training seeds.,18,11.25,0,0.0,0,0.0,142,88.75
2m,"2M, 8 eval envs, 5 training seeds",MAPPO,learned_final_checkpoint,V1,Combat,V1_Combat,MAPPO_reduced\V1_Combat\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,160,5,,2001408,Pooled final eligible checkpoint across training seeds.,31,19.375,0,0.0,22,13.75,107,66.875
2m,"2M, 8 eval envs, 5 training seeds",MAPPO,learned_final_checkpoint,V1,Navigate,V1_Navigate,MAPPO_reduced\V1_Navigate\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,160,5,,2001408,Pooled final eligible checkpoint across training seeds.,125,78.125,0,0.0,0,0.0,35,21.875
2m,"2M, 8 eval envs, 5 training seeds",MAPPO,learned_final_checkpoint,V2,Base,V2_Base,MAPPO_reduced\V2_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,160,5,,2001408,Pooled final eligible checkpoint across training seeds.,6,3.75,0,0.0,11,6.875,143,89.375
2m,"2M, 8 eval envs, 5 training seeds",MAPPO,learned_final_checkpoint,V2,Combat,V2_Combat,MAPPO_reduced\V2_Combat\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,160,5,,2001408,Pooled final eligible checkpoint across training seeds.,33,20.625,0,0.0,0,0.0,127,79.375
2m,"2M, 8 eval envs, 5 training seeds",MAPPO,learned_final_checkpoint,V2,Navigate,V2_Navigate,MAPPO_reduced\V2_Navigate\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,160,5,,2001408,Pooled final eligible checkpoint across training seeds.,93,58.125,0,0.0,0,0.0,67,41.875
2m,"2M, 8 eval envs, 5 training seeds",MAPPO,learned_final_checkpoint,V3,Base,V3_Base,MAPPO_reduced\V3_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,160,5,,2001408,Pooled final eligible checkpoint across training seeds.,7,4.375,0,0.0,0,0.0,153,95.625
2m,"2M, 8 eval envs, 5 training seeds",MAPPO,learned_final_checkpoint,V3,Combat,V3_Combat,MAPPO_reduced\V3_Combat\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,160,5,,2001408,Pooled final eligible checkpoint across training seeds.,7,4.375,0,0.0,5,3.125,148,92.5
2m,"2M, 8 eval envs, 5 training seeds",MAPPO,learned_final_checkpoint,V3,Navigate,V3_Navigate,MAPPO_reduced\V3_Navigate\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,160,5,,2001408,Pooled final eligible checkpoint across training seeds.,122,76.25,0,0.0,0,0.0,38,23.75
2m,"2M, 8 eval envs, 5 training seeds",MaskPPO,learned_final_checkpoint,V1,Base,V1_Base,MaskPPO\V1_Base\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv,160,5,,2001408,Pooled final eligible checkpoint across training seeds.,41,25.625,0,0.0,0,0.0,119,74.375
