grid,grid_label,series_kind,agent,version,variant,map_name,source_path,checkpoint_steps,mean_win_rate_percent,ci95_low_percent,ci95_high_percent,min_win_rate_percent,max_win_rate_percent,std_win_rate_percent,training_seed_count,evaluation_episodes,notes
2m,"2M, 8 eval envs, 5 training seeds",checkpoint_mean,MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,50688,19.375,,,0.0,40.625,14.888912,5,,Mean across eligible training seeds at this checkpoint.
2m,"2M, 8 eval envs, 5 training seeds",checkpoint_mean,MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,101376,14.375,,,3.125,37.5,13.368281,5,,Mean across eligible training seeds at this checkpoint.
2m,"2M, 8 eval envs, 5 training seeds",checkpoint_mean,MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,150528,13.125,,,0.0,50.0,20.775963,5,,Mean across eligible training seeds at this checkpoint.
2m,"2M, 8 eval envs, 5 training seeds",checkpoint_mean,MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,201216,21.25,,,0.0,56.25,27.898393,5,,Mean across eligible training seeds at this checkpoint.
2m,"2M, 8 eval envs, 5 training seeds",checkpoint_mean,MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,250368,10.0,,,0.0,28.125,11.136581,5,,Mean across eligible training seeds at this checkpoint.
2m,"2M, 8 eval envs, 5 training seeds",checkpoint_mean,MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,301056,3.125,,,0.0,9.375,3.827328,5,,Mean across eligible training seeds at this checkpoint.
2m,"2M, 8 eval envs, 5 training seeds",checkpoint_mean,MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,350208,10.625,,,0.0,34.375,15.562374,5,,Mean across eligible training seeds at this checkpoint.
2m,"2M, 8 eval envs, 5 training seeds",checkpoint_mean,MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,400896,1.875,,,0.0,6.25,2.795085,5,,Mean across eligible training seeds at this checkpoint.
2m,"2M, 8 eval envs, 5 training seeds",checkpoint_mean,MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,450048,6.25,,,0.0,25.0,10.825318,5,,Mean across eligible training seeds at this checkpoint.
2m,"2M, 8 eval envs, 5 training seeds",checkpoint_mean,MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,500736,3.125,,,0.0,12.5,5.412659,5,,Mean across eligible training seeds at this checkpoint.
