grid,grid_label,agent,version,variant,map_name,csv_path,eval_envs,source_max_checkpoint_steps,total_episodes,seed_count,seeds,final_checkpoint_steps,nav_win_count,nav_win_percent,combat_win_count,combat_win_percent,combat_loss_count,combat_loss_percent,nav_loss_count,nav_loss_percent
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,96,3,712993367;754446756;2008076029,10000896,49,51.041667,0,0.0,0,0.0,47,48.958333
10m,"10M, 8 eval envs",MAPPO,V1,Combat,V1_Combat,MAPPO_reduced\V1_Combat\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,96,3,220256808;454950384;1495914392,10000896,23,23.958333,3,3.125,11,11.458333,59,61.458333
10m,"10M, 8 eval envs",MAPPO,V1,Navigate,V1_Navigate,MAPPO_reduced\V1_Navigate\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,96,3,84631678;1014721629;2097606546,10000896,87,90.625,0,0.0,0,0.0,9,9.375
10m,"10M, 8 eval envs",MAPPO,V2,Base,V2_Base,MAPPO_reduced\V2_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,96,3,516029291;1376109123;1932035183,10000896,19,19.791667,0,0.0,3,3.125,74,77.083333
10m,"10M, 8 eval envs",MAPPO,V2,Combat,V2_Combat,MAPPO_reduced\V2_Combat\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,96,3,168901307;816046521;1677315597,10000896,40,41.666667,0,0.0,1,1.041667,55,57.291667
10m,"10M, 8 eval envs",MAPPO,V2,Navigate,V2_Navigate,MAPPO_reduced\V2_Navigate\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,96,3,540310214;631185455;969072527,10000896,92,95.833333,0,0.0,0,0.0,4,4.166667
10m,"10M, 8 eval envs",MAPPO,V3,Base,V3_Base,MAPPO_reduced\V3_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,96,3,647663452;1559497894;1638245842,10000896,33,34.375,0,0.0,0,0.0,63,65.625
10m,"10M, 8 eval envs",MAPPO,V3,Combat,V3_Combat,MAPPO_reduced\V3_Combat\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,96,3,643785429;832026900;1257888824,10000896,20,20.833333,0,0.0,11,11.458333,65,67.708333
10m,"10M, 8 eval envs",MAPPO,V3,Navigate,V3_Navigate,MAPPO_reduced\V3_Navigate\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,96,3,276444882;842086084;957512902,10000896,91,94.791667,0,0.0,0,0.0,5,5.208333
10m,"10M, 8 eval envs",MaskPPO,V1,Base,V1_Base,MaskPPO\V1_Base\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv,8,10000896,96,3,211825892;1223830059;2011173309,10000896,43,44.791667,0,0.0,0,0.0,53,55.208333
10m,"10M, 8 eval envs",MaskPPO,V1,Combat,V1_Combat,MaskPPO\V1_Combat\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv,8,10000896,96,3,41902061;559867246;1571587510,10000896,17,17.708333,0,0.0,0,0.0,79,82.291667
10m,"10M, 8 eval envs",MaskPPO,V1,Navigate,V1_Navigate,MaskPPO\V1_Navigate\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv,8,10000896,96,3,178112637;1173760274;1833857558,10000896,31,32.291667,0,0.0,0,0.0,65,67.708333
10m,"10M, 8 eval envs",MaskPPO,V2,Base,V2_Base,MaskPPO\V2_Base\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv,8,10000896,96,3,51493432;1367401093;1512476865,10000896,31,32.291667,0,0.0,0,0.0,65,67.708333
10m,"10M, 8 eval envs",MaskPPO,V2,Combat,V2_Combat,MaskPPO\V2_Combat\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv,8,10000896,96,3,699107857;701506437;992653576,10000896,33,34.375,0,0.0,0,0.0,63,65.625
10m,"10M, 8 eval envs",MaskPPO,V2,Navigate,V2_Navigate,MaskPPO\V2_Navigate\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv,8,10000896,96,3,788967690;823800835;1471345808,10000896,47,48.958333,0,0.0,0,0.0,49,51.041667
