agent,version,variant,map_name,csv_path,total_episodes,seeds,final_checkpoint_steps,nav_win_count,nav_win_percent,combat_win_count,combat_win_percent,combat_loss_count,combat_loss_percent,nav_loss_count,nav_loss_percent
MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv16.csv,96,712993367;754446756;2008076029,2001408,17,17.708333,0,0.0,0,0.0,79,82.291667
MAPPO,V1,Combat,V1_Combat,MAPPO_reduced\V1_Combat\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv16.csv,96,220256808;454950384;1495914392,2001408,9,9.375,0,0.0,0,0.0,87,90.625
MAPPO,V1,Navigate,V1_Navigate,MAPPO_reduced\V1_Navigate\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv16.csv,96,84631678;1014721629;2097606546,2001408,84,87.5,0,0.0,0,0.0,12,12.5
MAPPO,V2,Base,V2_Base,MAPPO_reduced\V2_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv16.csv,192,516029291;534435977;574292417;1376109123;1932035183;2078641185,2001408,25,13.020833,0,0.0,13,6.770833,154,80.208333
MAPPO,V2,Combat,V2_Combat,MAPPO_reduced\V2_Combat\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv16.csv,96,168901307;816046521;1677315597,2001408,33,34.375,0,0.0,0,0.0,63,65.625
MAPPO,V2,Navigate,V2_Navigate,MAPPO_reduced\V2_Navigate\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv16.csv,96,540310214;631185455;969072527,2001408,54,56.25,0,0.0,0,0.0,42,43.75
MAPPO,V3,Base,V3_Base,MAPPO_reduced\V3_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv16.csv,96,647663452;1559497894;1638245842,2001408,4,4.166667,0,0.0,0,0.0,92,95.833333
MAPPO,V3,Combat,V3_Combat,MAPPO_reduced\V3_Combat\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv16.csv,96,643785429;832026900;1257888824,2001408,3,3.125,0,0.0,5,5.208333,88,91.666667
MAPPO,V3,Navigate,V3_Navigate,MAPPO_reduced\V3_Navigate\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv16.csv,96,276444882;842086084;957512902,2001408,76,79.166667,0,0.0,0,0.0,20,20.833333
MaskPPO,V1,Base,V1_Base,MaskPPO\V1_Base\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv16.csv,96,211825892;1223830059;2011173309,2001408,26,27.083333,0,0.0,0,0.0,70,72.916667
MaskPPO,V1,Combat,V1_Combat,MaskPPO\V1_Combat\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv16.csv,96,41902061;559867246;1571587510,2001408,17,17.708333,0,0.0,0,0.0,79,82.291667
MaskPPO,V1,Navigate,V1_Navigate,MaskPPO\V1_Navigate\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv16.csv,96,178112637;1173760274;1833857558,2001408,57,59.375,0,0.0,0,0.0,39,40.625
