grid,grid_label,agent,version,variant,map_name,csv_path,eval_envs,source_max_checkpoint_steps,checkpoint_steps,mean_nav_win_rate_percent,mean_combat_win_rate_percent,mean_win_rate_percent,seed_count,mean_episodes
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,50688,18.75,0.0,18.75,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,101376,19.791667,0.0,19.791667,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,150528,5.208333,0.0,5.208333,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,201216,19.791667,0.0,19.791667,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,250368,7.291667,0.0,7.291667,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,301056,1.041667,0.0,1.041667,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,350208,11.458333,0.0,11.458333,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,400896,2.083333,0.0,2.083333,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,450048,2.083333,0.0,2.083333,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,500736,1.041667,0.0,1.041667,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,551424,3.125,0.0,3.125,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,600576,7.291667,0.0,7.291667,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,651264,5.208333,0.0,5.208333,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,700416,13.541667,0.0,13.541667,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,751104,15.625,0.0,15.625,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,800256,15.625,0.0,15.625,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,850944,7.291667,0.0,7.291667,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,900096,3.125,0.0,3.125,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,950784,2.083333,0.0,2.083333,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,1001472,3.125,0.0,3.125,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,1050624,2.083333,0.0,2.083333,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,1101312,4.166667,0.0,4.166667,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,1150464,9.375,0.0,9.375,3,32.0
10m,"10M, 8 eval envs",MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,10000896,1201152,4.166667,0.0,4.166667,3,32.0
