variant,episode,sc2_seed,friendly_region,enemy_region,beacon_region,outcome,steps,game_loop,wall_seconds,sc2_reward,bridge_reached,route_complete,route_waypoint_index,current_waypoint,bridge_step,enemy_contact_step,first_attack_step,first_damage_step,initial_friends,surviving_friends,friendly_losses,initial_enemies,surviving_enemies,enemy_kills,initial_friend_health,final_friend_health,initial_enemy_health,final_enemy_health,final_friend_centroid,final_enemy_centroid,move_actions,attack_actions,noop_actions
V1_Base,1,0,R2,R4,R5,combat_win,117,936,0.5340897999994922,0.0,True,True,4,,47,97,99,100,5,5,0,3,0,3,225.0,165.0,135.0,0,"[45.8, 60.0]",,107,10,0
V1_Base,2,1,R3,R4,R5,combat_win,99,792,0.4582765999948606,0.0,True,True,4,,27,76,77,78,5,3,2,3,0,3,225.0,75.0,135.0,0,"[39.333333333333336, 60.0]",,85,14,0
V1_Base,3,2,R1,R6,R4,combat_win,137,1096,0.5520956000254955,0.0,True,True,4,,92,114,115,116,5,4,1,3,0,3,225.0,78.0,135.0,0,"[39.75, 3.75]",,127,10,0
V1_Base,4,3,R3,R5,R4,combat_win,119,952,0.5664907000027597,0.0,True,True,4,,62,97,97,98,5,3,2,3,0,3,225.0,69.0,135.0,0,"[42.0, 29.333333333333332]",,107,12,0
V1_Base,5,4,R2,R5,R4,combat_win,117,936,0.49091150000458583,0.0,True,True,4,,63,94,95,96,5,3,2,3,0,3,225.0,87.0,135.0,0,"[41.333333333333336, 34.0]",,104,13,0
V1_Base,6,5,R2,R4,R5,combat_win,101,808,0.3420151000027545,0.0,True,True,4,,40,90,91,92,5,5,0,3,0,3,225.0,153.0,135.0,0,"[43.0, 58.0]",,92,9,0
V1_Base,7,6,R1,R4,R5,combat_win,133,1064,0.5402863000053912,0.0,True,True,4,,52,107,108,109,5,5,0,3,0,3,225.0,147.0,135.0,0,"[45.8, 57.2]",,121,12,0
V1_Base,8,7,R1,R6,R4,combat_loss,105,840,0.5059315000253264,0.0,True,True,4,,53,76,77,78,5,0,5,3,2,1,225.0,0,135.0,36.0,,"[49.0, 8.0]",92,13,0
V1_Base,9,8,R3,R4,R5,combat_win,89,712,0.4018431000004057,0.0,True,True,4,,21,75,76,77,5,5,0,3,0,3,225.0,171.0,135.0,0,"[41.8, 59.4]",,79,10,0
V1_Base,10,9,R2,R6,R4,combat_win,109,872,0.48334870001417585,0.0,True,True,4,,68,90,91,92,5,4,1,3,0,3,225.0,126.0,135.0,0,"[43.5, 6.5]",,99,10,0
V1_Base,11,10,R1,R4,R5,combat_win,117,936,0.5141999000043143,0.0,True,True,4,,55,105,106,107,5,5,0,3,0,3,225.0,165.0,135.0,0,"[43.2, 57.2]",,106,11,0
V1_Base,12,11,R2,R4,R6,combat_win,149,1192,0.625864100002218,0.0,True,True,4,,77,127,128,129,5,5,0,3,0,3,225.0,159.0,135.0,0,"[44.8, 55.2]",,141,8,0
V1_Base,13,12,R1,R4,R5,combat_win,129,1032,0.5309783999982756,0.0,True,True,4,,55,111,112,113,5,4,1,3,0,3,225.0,108.0,135.0,0,"[42.75, 59.5]",,116,13,0
V1_Base,14,13,R3,R5,R4,combat_win,102,816,0.43404359999112785,0.0,True,True,4,,27,59,60,61,5,1,4,3,0,3,225.0,15.0,135.0,0,"[44.0, 31.0]",,82,20,0
V1_Base,15,14,R1,R4,R6,combat_win,128,1024,0.6071308000246063,0.0,True,True,4,,53,106,107,108,5,4,1,3,0,3,225.0,108.0,135.0,0,"[43.5, 57.0]",,117,11,0
V1_Base,16,15,R1,R5,R6,combat_win,95,760,0.42369359999429435,0.0,True,True,4,,49,78,79,80,5,4,1,3,0,3,225.0,138.0,135.0,0,"[41.0, 33.5]",,85,10,0
V1_Base,17,16,R2,R5,R6,combat_win,88,704,0.4113425000105053,0.0,True,True,4,,41,74,75,76,5,4,1,3,0,3,225.0,150.0,135.0,0,"[47.25, 33.25]",,80,8,0
V1_Base,18,17,R3,R4,R5,combat_win,118,944,0.47280699998373166,0.0,True,True,4,,44,98,99,100,5,4,1,3,0,3,225.0,96.0,135.0,0,"[41.0, 58.0]",,104,14,0
V1_Base,19,18,R2,R5,R4,combat_win,90,720,0.45737829999416135,0.0,True,True,4,,42,71,72,73,5,3,2,3,0,3,225.0,87.0,135.0,0,"[42.0, 34.0]",,80,10,0
V1_Base,20,19,R2,R5,R6,combat_win,139,1112,0.5459916999971028,0.0,True,True,4,,90,119,120,121,5,5,0,3,0,3,225.0,171.0,135.0,0,"[46.8, 31.0]",,131,8,0
V1_Base,21,20,R2,R5,R4,combat_win,161,1288,0.5914642999996431,0.0,True,True,4,,107,135,136,137,5,5,0,3,0,3,225.0,117.0,135.0,0,"[43.0, 28.6]",,148,13,0
V1_Base,22,21,R3,R6,R4,combat_win,153,1224,0.5965502999897581,0.0,True,True,4,,105,129,129,130,5,5,0,3,0,3,225.0,159.0,135.0,0,"[46.2, 7.0]",,145,8,0
V1_Base,23,22,R1,R4,R6,combat_win,124,992,0.4961563999822829,0.0,True,True,4,,48,102,103,104,5,4,1,3,0,3,225.0,78.0,135.0,0,"[41.25, 53.5]",,112,12,0
V1_Base,24,23,R1,R4,R6,combat_win,127,1016,0.5329774999991059,0.0,True,True,4,,53,101,102,103,5,4,1,3,0,3,225.0,78.0,135.0,0,"[39.5, 51.75]",,118,9,0
V1_Base,25,24,R3,R6,R4,combat_win,85,680,0.4068009000038728,0.0,True,True,4,,40,62,63,64,5,3,2,3,0,3,225.0,93.0,135.0,0,"[43.333333333333336, 3.3333333333333335]",,74,11,0
V1_Base,26,25,R1,R5,R6,combat_win,105,840,0.4478526999882888,0.0,True,True,4,,66,93,94,95,5,5,0,3,0,3,225.0,141.0,135.0,0,"[41.0, 34.6]",,95,10,0
V1_Base,27,26,R3,R4,R5,combat_win,96,768,0.4213486000080593,0.0,True,True,4,,30,80,81,82,5,4,1,3,0,3,225.0,126.0,135.0,0,"[41.25, 57.75]",,82,14,0
V1_Base,28,27,R2,R5,R6,combat_win,87,696,0.40190399999846704,0.0,True,True,4,,34,62,63,64,5,3,2,3,0,3,225.0,81.0,135.0,0,"[42.333333333333336, 33.333333333333336]",,75,12,0
V1_Base,29,28,R1,R4,R5,combat_win,125,1000,0.5075294999987818,0.0,True,True,4,,53,105,106,107,5,4,1,3,0,3,225.0,126.0,135.0,0,"[41.25, 59.75]",,111,14,0
V1_Base,30,29,R1,R4,R5,combat_win,138,1104,0.5600573000265285,0.0,True,True,4,,65,116,118,119,5,4,1,3,0,3,225.0,126.0,135.0,0,"[42.75, 55.75]",,129,9,0
V1_Base,31,30,R3,R4,R6,combat_win,184,1472,0.7126921000017319,0.0,True,True,4,,112,162,163,164,5,5,0,3,0,3,225.0,159.0,135.0,0,"[45.8, 55.6]",,176,8,0
V1_Base,32,31,R1,R4,R5,combat_win,139,1112,0.5437142000009771,0.0,True,True,4,,74,122,123,124,5,4,1,3,0,3,225.0,132.0,135.0,0,"[41.75, 56.25]",,127,12,0
V1_Combat,1,100000,R4,R6,R2,combat_win,76,608,0.3505818999838084,0.0,True,True,4,,43,57,58,59,5,4,1,3,0,3,225.0,138.0,135.0,0,"[40.5, 8.0]",,62,14,0
V1_Combat,2,100001,R6,R5,R1,combat_win,55,440,0.2993438999983482,0.0,True,True,4,,17,42,43,44,5,4,1,3,0,3,225.0,156.0,135.0,0,"[44.75, 32.0]",,46,9,0
V1_Combat,3,100002,R5,R4,R3,combat_win,97,776,0.44750149999163114,0.0,True,True,4,,22,71,72,73,5,4,1,3,0,3,225.0,150.0,135.0,0,"[47.25, 57.25]",,86,11,0
V1_Combat,4,100003,R6,R5,R1,combat_win,55,440,0.3531109000032302,0.0,True,True,4,,19,42,43,44,5,5,0,3,0,3,225.0,141.0,135.0,0,"[43.2, 34.2]",,48,7,0
V1_Combat,5,100004,R5,R4,R3,combat_win,88,704,0.43319330000667833,0.0,True,True,4,,20,69,70,71,5,5,0,3,0,3,225.0,177.0,135.0,0,"[47.6, 54.2]",,78,10,0
V1_Combat,6,100005,R4,R6,R3,combat_win,75,600,0.36805819999426603,0.0,True,True,4,,43,59,60,61,5,3,2,3,0,3,225.0,111.0,135.0,0,"[43.0, 5.666666666666667]",,64,11,0
V1_Combat,7,100006,R5,R4,R2,combat_win,84,672,0.41563550001592375,0.0,True,True,4,,24,68,69,70,5,5,0,3,0,3,225.0,177.0,135.0,0,"[46.0, 61.0]",,74,10,0
V1_Combat,8,100007,R4,R6,R2,combat_win,75,600,0.3716239999921527,0.0,True,True,4,,46,63,64,65,5,5,0,3,0,3,225.0,147.0,135.0,0,"[42.2, 5.2]",,64,11,0
V1_Combat,9,100008,R5,R4,R2,combat_win,91,728,0.35574410000117496,0.0,True,True,4,,23,75,76,77,5,4,1,3,0,3,225.0,144.0,135.0,0,"[44.5, 55.5]",,77,14,0
V1_Combat,10,100009,R5,R4,R2,combat_win,88,704,0.41820559999905527,0.0,True,True,4,,22,66,67,68,5,3,2,3,0,3,225.0,105.0,135.0,0,"[42.0, 59.0]",,73,15,0
V1_Combat,11,100010,R5,R4,R2,combat_win,76,608,0.38322669998160563,0.0,True,True,4,,21,61,63,64,5,4,1,3,0,3,225.0,150.0,135.0,0,"[41.0, 56.5]",,64,12,0
V1_Combat,12,100011,R4,R6,R3,combat_win,76,608,0.38379309998708777,0.0,True,True,4,,43,65,66,67,5,4,1,3,0,3,225.0,168.0,135.0,0,"[44.25, 5.5]",,66,10,0
V1_Combat,13,100012,R4,R6,R3,combat_win,72,576,0.3534609999915119,0.0,True,True,4,,43,59,60,61,5,5,0,3,0,3,225.0,147.0,135.0,0,"[43.0, 7.2]",,61,11,0
V1_Combat,14,100013,R6,R5,R3,combat_win,70,560,0.37347540000337176,0.0,True,True,4,,20,43,44,45,5,3,2,3,0,3,225.0,93.0,135.0,0,"[40.666666666666664, 30.0]",,56,14,0
V1_Combat,15,100014,R5,R4,R1,combat_win,86,688,0.3359846000093967,0.0,True,True,4,,21,64,65,66,5,3,2,3,0,3,225.0,123.0,135.0,0,"[41.0, 54.333333333333336]",,76,10,0
V1_Combat,16,100015,R5,R4,R1,combat_win,80,640,0.38816669999505393,0.0,True,True,4,,20,61,62,63,5,5,0,3,0,3,225.0,183.0,135.0,0,"[46.0, 60.0]",,69,11,0
V1_Combat,17,100016,R4,R5,R2,combat_win,82,656,0.3767060000100173,0.0,True,True,4,,42,61,62,63,5,4,1,3,0,3,225.0,90.0,135.0,0,"[40.25, 28.0]",,69,13,0
V1_Combat,18,100017,R5,R4,R1,combat_win,82,656,0.38721410001744516,0.0,True,True,4,,19,69,70,71,5,4,1,3,0,3,225.0,156.0,135.0,0,"[42.5, 60.25]",,71,11,0
V1_Combat,19,100018,R4,R6,R1,combat_win,70,560,0.34711370000150055,0.0,True,True,4,,45,58,58,59,5,5,0,3,0,3,225.0,135.0,135.0,0,"[41.2, 8.2]",,59,11,0
V1_Combat,20,100019,R4,R5,R2,combat_win,81,648,0.39733870001509786,0.0,True,True,4,,40,64,65,66,5,5,0,3,0,3,225.0,165.0,135.0,0,"[45.8, 32.6]",,72,9,0
