experiment,experiment_label,map_name,agent,csv_path,eval_envs,source_max_checkpoint_steps,final_checkpoint_steps,seed_count,seeds,total_episodes,unclassified_count,nav_win_count,nav_win_percent,combat_win_count,combat_win_percent,combat_loss_count,combat_loss_percent,nav_loss_count,nav_loss_percent
equal_terminal_reward_25,Equal terminal rewards (= 25),V1_Base,MAPPO,MAPPO_reduced\V1_Base\MAPPO_reduced_equal_terminal_reward_25\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,2001408,2001408,2,712993367;2008076029,64,0,16,25.0,0,0.0,4,6.25,44,68.75
equal_terminal_reward_25,Equal terminal rewards (= 25),V1_Base,MaskPPO,MaskPPO\V1_Base\MaskPPO_NS_reduced_equal_terminal_reward_25\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv,8,2001408,2001408,2,211825892;2011173309,64,0,18,28.125,0,0.0,0,0.0,46,71.875
equal_terminal_reward_25,Equal terminal rewards (= 25),V1_Base,QMIX,Qmix_reduced\V1_Base\QMIX_reduced_equal_terminal_reward_25\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,2000000,2000000,2,297975710;1076891414,64,0,27,42.1875,0,0.0,0,0.0,37,57.8125
equal_terminal_reward_25,Equal terminal rewards (= 25),V2_Navigate,MAPPO,MAPPO_reduced\V2_Navigate\MAPPO_reduced_equal_terminal_reward_25\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,2001408,2001408,2,631185455;969072527,64,0,40,62.5,0,0.0,0,0.0,24,37.5
equal_terminal_reward_25,Equal terminal rewards (= 25),V2_Navigate,MaskPPO,MaskPPO\V2_Navigate\MaskPPO_NS_reduced_equal_terminal_reward_25\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv,8,2001408,2001408,2,788967690;823800835,64,0,27,42.1875,0,0.0,0,0.0,37,57.8125
equal_terminal_reward_25,Equal terminal rewards (= 25),V2_Navigate,QMIX,Qmix_reduced\V2_Navigate\QMIX_reduced_equal_terminal_reward_25\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,2000000,2000000,2,761503082;1905409104,64,0,3,4.6875,0,0.0,0,0.0,61,95.3125
reward_swap,Terminal rewards swapped,V1_Base,MAPPO,MAPPO_reduced\V1_Base\MAPPO_reduced_terminal_reward_swap\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,2001408,2001408,2,712993367;2008076029,64,0,13,20.3125,0,0.0,0,0.0,51,79.6875
reward_swap,Terminal rewards swapped,V1_Base,MaskPPO,MaskPPO\V1_Base\MaskPPO_NS_reduced_terminal_reward_swap\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv,8,2001408,2001408,2,211825892;2011173309,64,0,19,29.6875,0,0.0,0,0.0,45,70.3125
reward_swap,Terminal rewards swapped,V1_Base,QMIX,Qmix_reduced\V1_Base\QMIX_reduced_terminal_reward_swap\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,2000000,2000000,2,297975710;1076891414,64,0,11,17.1875,0,0.0,0,0.0,53,82.8125
reward_swap,Terminal rewards swapped,V2_Navigate,MAPPO,MAPPO_reduced\V2_Navigate\MAPPO_reduced_terminal_reward_swap\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,2001408,2001408,2,631185455;969072527,64,0,52,81.25,0,0.0,0,0.0,12,18.75
reward_swap,Terminal rewards swapped,V2_Navigate,MaskPPO,MaskPPO\V2_Navigate\MaskPPO_NS_reduced_terminal_reward_swap\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv,8,2001408,2001408,2,788967690;823800835,64,0,20,31.25,0,0.0,0,0.0,44,68.75
reward_swap,Terminal rewards swapped,V2_Navigate,QMIX,Qmix_reduced\V2_Navigate\QMIX_reduced_terminal_reward_swap\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,2000000,2000000,2,761503082;1905409104,64,0,1,1.5625,0,0.0,0,0.0,63,98.4375
