experiment,experiment_label,map_name,agent,csv_path,eval_envs,source_max_checkpoint_steps,checkpoint_steps,mean_win_rate_percent,ci95_low_percent,ci95_high_percent,seed_count,seeds,ci_method
equal_terminal_reward_25,Equal terminal rewards (= 25),V1_Base,MAPPO,MAPPO_reduced\V1_Base\MAPPO_reduced_equal_terminal_reward_25\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,2001408,50688,18.75,15.625,21.875,2,712993367;2008076029,percentile bootstrap across seeds (10000 resamples)
equal_terminal_reward_25,Equal terminal rewards (= 25),V1_Base,MAPPO,MAPPO_reduced\V1_Base\MAPPO_reduced_equal_terminal_reward_25\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,2001408,101376,1.5625,0.0,3.125,2,712993367;2008076029,percentile bootstrap across seeds (10000 resamples)
equal_terminal_reward_25,Equal terminal rewards (= 25),V1_Base,MAPPO,MAPPO_reduced\V1_Base\MAPPO_reduced_equal_terminal_reward_25\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,2001408,150528,7.8125,3.125,12.5,2,712993367;2008076029,percentile bootstrap across seeds (10000 resamples)
equal_terminal_reward_25,Equal terminal rewards (= 25),V1_Base,MAPPO,MAPPO_reduced\V1_Base\MAPPO_reduced_equal_terminal_reward_25\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,2001408,201216,12.5,9.375,15.625,2,712993367;2008076029,percentile bootstrap across seeds (10000 resamples)
equal_terminal_reward_25,Equal terminal rewards (= 25),V1_Base,MAPPO,MAPPO_reduced\V1_Base\MAPPO_reduced_equal_terminal_reward_25\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,2001408,250368,15.625,0.0,31.25,2,712993367;2008076029,percentile bootstrap across seeds (10000 resamples)
equal_terminal_reward_25,Equal terminal rewards (= 25),V1_Base,MAPPO,MAPPO_reduced\V1_Base\MAPPO_reduced_equal_terminal_reward_25\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,2001408,301056,18.75,0.0,37.5,2,712993367;2008076029,percentile bootstrap across seeds (10000 resamples)
equal_terminal_reward_25,Equal terminal rewards (= 25),V1_Base,MAPPO,MAPPO_reduced\V1_Base\MAPPO_reduced_equal_terminal_reward_25\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,2001408,350208,3.125,0.0,6.25,2,712993367;2008076029,percentile bootstrap across seeds (10000 resamples)
equal_terminal_reward_25,Equal terminal rewards (= 25),V1_Base,MAPPO,MAPPO_reduced\V1_Base\MAPPO_reduced_equal_terminal_reward_25\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,2001408,400896,17.1875,0.0,34.375,2,712993367;2008076029,percentile bootstrap across seeds (10000 resamples)
equal_terminal_reward_25,Equal terminal rewards (= 25),V1_Base,MAPPO,MAPPO_reduced\V1_Base\MAPPO_reduced_equal_terminal_reward_25\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,2001408,450048,15.625,0.0,31.25,2,712993367;2008076029,percentile bootstrap across seeds (10000 resamples)
equal_terminal_reward_25,Equal terminal rewards (= 25),V1_Base,MAPPO,MAPPO_reduced\V1_Base\MAPPO_reduced_equal_terminal_reward_25\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,8,2001408,500736,17.1875,0.0,34.375,2,712993367;2008076029,percentile bootstrap across seeds (10000 resamples)
