group,map_name,map_file,status,error,map_width,map_height,map_area,playable_x0,playable_y0,playable_x1,playable_y1,playable_width,playable_height,playable_area,playable_matches_full_map,source,map_path
smac,10m_vs_11m,10m_vs_11m.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\10m_vs_11m.SC2Map
smac,1c3s5z,1c3s5z.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\1c3s5z.SC2Map
smac,25m,25m.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\25m.SC2Map
smac,27m_vs_30m,27m_vs_30m.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\27m_vs_30m.SC2Map
smac,2c_vs_64zg,2c_vs_64zg.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\2c_vs_64zg.SC2Map
smac,2m_vs_1z,2m_vs_1z.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\2m_vs_1z.SC2Map
smac,2s3z,2s3z.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\2s3z.SC2Map
smac,2s_vs_1sc,2s_vs_1sc.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\2s_vs_1sc.SC2Map
smac,3m,3m.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\3m.SC2Map
smac,3s5z,3s5z.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\3s5z.SC2Map
