group,map_name,map_file,status,error,map_size_x,map_size_y,playable_x0,playable_y0,playable_x1,playable_y1,playable_width,playable_height,matches_reference,map_size_delta_x,map_size_delta_y,playable_delta_x0,playable_delta_y0,playable_delta_x1,playable_delta_y1,map_path
smac,10m_vs_11m,10m_vs_11m.SC2Map,ok,,28.0,28.0,0.0,0.0,28.0,28.0,28.0,28.0,False,-28.0,-34.0,0.0,0.0,-28.0,-34.0,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\10m_vs_11m.SC2Map
smac,1c3s5z,1c3s5z.SC2Map,ok,,28.0,28.0,0.0,0.0,28.0,28.0,28.0,28.0,False,-28.0,-34.0,0.0,0.0,-28.0,-34.0,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\1c3s5z.SC2Map
smac,25m,25m.SC2Map,ok,,28.0,28.0,0.0,0.0,28.0,28.0,28.0,28.0,False,-28.0,-34.0,0.0,0.0,-28.0,-34.0,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\25m.SC2Map
smac,27m_vs_30m,27m_vs_30m.SC2Map,ok,,28.0,28.0,0.0,0.0,28.0,28.0,28.0,28.0,False,-28.0,-34.0,0.0,0.0,-28.0,-34.0,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\27m_vs_30m.SC2Map
smac,2c_vs_64zg,2c_vs_64zg.SC2Map,ok,,28.0,28.0,0.0,0.0,28.0,28.0,28.0,28.0,False,-28.0,-34.0,0.0,0.0,-28.0,-34.0,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\2c_vs_64zg.SC2Map
smac,2m_vs_1z,2m_vs_1z.SC2Map,ok,,28.0,28.0,0.0,0.0,28.0,28.0,28.0,28.0,False,-28.0,-34.0,0.0,0.0,-28.0,-34.0,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\2m_vs_1z.SC2Map
smac,2s3z,2s3z.SC2Map,ok,,28.0,28.0,0.0,0.0,28.0,28.0,28.0,28.0,False,-28.0,-34.0,0.0,0.0,-28.0,-34.0,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\2s3z.SC2Map
smac,2s_vs_1sc,2s_vs_1sc.SC2Map,ok,,28.0,28.0,0.0,0.0,28.0,28.0,28.0,28.0,False,-28.0,-34.0,0.0,0.0,-28.0,-34.0,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\2s_vs_1sc.SC2Map
smac,3m,3m.SC2Map,ok,,28.0,28.0,0.0,0.0,28.0,28.0,28.0,28.0,False,-28.0,-34.0,0.0,0.0,-28.0,-34.0,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\3m.SC2Map
smac,3s5z,3s5z.SC2Map,ok,,28.0,28.0,0.0,0.0,28.0,28.0,28.0,28.0,False,-28.0,-34.0,0.0,0.0,-28.0,-34.0,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\3s5z.SC2Map
smac,3s5z_vs_3s6z,3s5z_vs_3s6z.SC2Map,ok,,28.0,28.0,0.0,0.0,28.0,28.0,28.0,28.0,False,-28.0,-34.0,0.0,0.0,-28.0,-34.0,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\3s5z_vs_3s6z.SC2Map
smac,3s_vs_3z,3s_vs_3z.SC2Map,ok,,28.0,28.0,0.0,0.0,28.0,28.0,28.0,28.0,False,-28.0,-34.0,0.0,0.0,-28.0,-34.0,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\3s_vs_3z.SC2Map
smac,3s_vs_4z,3s_vs_4z.SC2Map,ok,,28.0,28.0,0.0,0.0,28.0,28.0,28.0,28.0,False,-28.0,-34.0,0.0,0.0,-28.0,-34.0,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\3s_vs_4z.SC2Map
smac,3s_vs_5z,3s_vs_5z.SC2Map,ok,,28.0,28.0,0.0,0.0,28.0,28.0,28.0,28.0,False,-28.0,-34.0,0.0,0.0,-28.0,-34.0,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\3s_vs_5z.SC2Map
smac,5m_vs_6m,5m_vs_6m.SC2Map,ok,,28.0,28.0,0.0,0.0,28.0,28.0,28.0,28.0,False,-28.0,-34.0,0.0,0.0,-28.0,-34.0,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\5m_vs_6m.SC2Map
