side,x0,x1,y0,y1,area_pixels,area_fraction_of_original,compute_reduction_fraction,pathable_coverage,player_relative_coverage,bounds_coverage,slice
24,4,28,32,56,576,0.140625,0.859375,0.6631439894319683,0.4666666666666667,0.6631439894319683,"minimap[:, 32:56, 4:28]"
28,2,30,30,58,784,0.19140625,0.80859375,0.8745046235138706,0.8666666666666667,0.8745046235138706,"minimap[:, 30:58, 2:30]"
31,1,32,28,59,961,0.234619140625,0.765380859375,0.9709379128137384,0.9444444444444444,0.9709379128137384,"minimap[:, 28:59, 1:32]"
32,0,32,28,60,1024,0.25,0.75,1.0,1.0,1.0,"minimap[:, 28:60, 0:32]"
35,0,35,26,61,1225,0.299072265625,0.700927734375,1.0,1.0,1.0,"minimap[:, 26:61, 0:35]"
36,0,36,26,62,1296,0.31640625,0.68359375,1.0,1.0,1.0,"minimap[:, 26:62, 0:36]"
39,0,39,24,63,1521,0.371337890625,0.628662109375,1.0,1.0,1.0,"minimap[:, 24:63, 0:39]"
40,0,40,24,64,1600,0.390625,0.609375,1.0,1.0,1.0,"minimap[:, 24:64, 0:40]"
43,0,43,21,64,1849,0.451416015625,0.548583984375,1.0,1.0,1.0,"minimap[:, 21:64, 0:43]"
44,0,44,20,64,1936,0.47265625,0.52734375,1.0,1.0,1.0,"minimap[:, 20:64, 0:44]"
47,0,47,17,64,2209,0.539306640625,0.460693359375,1.0,1.0,1.0,"minimap[:, 17:64, 0:47]"
48,0,48,16,64,2304,0.5625,0.4375,1.0,1.0,1.0,"minimap[:, 16:64, 0:48]"
51,0,51,13,64,2601,0.635009765625,0.364990234375,1.0,1.0,1.0,"minimap[:, 13:64, 0:51]"
52,0,52,12,64,2704,0.66015625,0.33984375,1.0,1.0,1.0,"minimap[:, 12:64, 0:52]"
55,0,55,9,64,3025,0.738525390625,0.261474609375,1.0,1.0,1.0,"minimap[:, 9:64, 0:55]"
56,0,56,8,64,3136,0.765625,0.234375,1.0,1.0,1.0,"minimap[:, 8:64, 0:56]"
60,0,60,4,64,3600,0.87890625,0.12109375,1.0,1.0,1.0,"minimap[:, 4:64, 0:60]"
64,0,64,0,64,4096,1.0,0.0,1.0,1.0,1.0,"minimap[:, 0:64, 0:64]"
