tag_4294967297,tag_4295229441,tag_4295491585,tag_4295753729,tag_4296015873
0.0,0.0,0.0,0.0,0.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
45.0,45.0,45.0,45.0,45.0
