nav_r,combat_r,term_r,friend_hp,enemy_hp,nav_dist,combat_dist,reward,value_estimate,a_move,a_attack,a_noop,a_alive,A_verb,A_direction,A_enemy_idx,A_selected,env_reward,agent_r_hat,td_error
0.0,0.0,0.0,225.0,225.0,0.0,0.0,0.0,32.13125228881836,0,0,5,5,0,1,1,3,0.0,0.28640964508056754,-0.28640964508056754
0.0,0.0,0.0,225.0,225.0,22.122346878051758,25.41277313232422,0.0,32.166507720947266,0,0,5,5,0,1,1,3,0.0,0.29161128997802876,-0.29161128997802876
0.0,0.0,0.0,225.0,225.0,22.122346878051758,25.41277313232422,0.0,32.19686508178711,0,0,5,5,0,1,1,3,0.0,0.29847095489501996,-0.29847095489501996
0.0,0.0,0.0,225.0,225.0,22.122346878051758,25.41277313232422,0.0,32.22060012817383,0,0,5,5,0,1,1,3,0.0,0.3086595153808602,-0.3086595153808602
0.0,0.0,0.0,225.0,225.0,22.122346878051758,25.41277313232422,0.0,32.234283447265625,0,0,5,5,0,1,1,3,0.0,0.3253225326538072,-0.3253225326538072
0.0,0.0,0.0,225.0,225.0,22.122346878051758,25.41277313232422,0.0,32.23127365112305,0,0,5,5,0,1,1,3,0.0,0.35346927642822124,-0.35346927642822124
0.0,0.0,0.0,225.0,225.0,22.122346878051758,25.41277313232422,0.0,32.19980239868164,0,0,5,5,0,1,1,3,0.0,0.39948905944824276,-0.39948905944824276
0.0,0.0,0.0,225.0,225.0,22.122346878051758,25.41277313232422,0.0,32.12152862548828,0,0,5,5,0,1,1,3,0.0,0.4684422111511246,-0.4684422111511246
0.0,0.0,0.0,225.0,225.0,22.122346878051758,25.41277313232422,0.0,31.972814559936523,0,0,5,5,0,1,1,3,0.0,0.5589065170288094,-0.5589065170288094
0.0,0.0,0.0,225.0,225.0,22.122346878051758,25.41277313232422,0.0,31.731220245361328,0,0,5,5,0,1,1,3,0.0,0.6579192733764643,-0.6579192733764643
0.0,0.0,0.0,225.0,225.0,22.122346878051758,25.41277313232422,0.0,31.38717269897461,0,0,5,5,0,1,1,3,0.0,0.7419625854492189,-0.7419625854492189
0.0,0.0,0.0,225.0,225.0,22.122346878051758,25.41277313232422,0.0,30.954757690429688,0,0,5,5,0,1,1,3,0.0,0.7877985763549802,-0.7877985763549802
0.0,0.0,0.0,225.0,225.0,22.122346878051758,25.41277313232422,0.0,30.471675872802734,0,0,5,5,0,1,1,3,0.0,0.7862306976318365,-0.7862306976318365
0.0,0.0,0.0,225.0,225.0,22.122346878051758,25.41277313232422,0.0,29.98529815673828,0,0,5,5,0,1,1,3,0.0,0.7457087326049816,-0.7457087326049816
